Club,Map Name,Nearest Town,Terrain,Map grade,Grid ref of SW corner,Grid ref of NE corner,Expected Completion Date,"Size, sq km",,,,,,,,,,,,,,,
3Roc,Griffeen Valley Park,Lucan,Parkland,Local,O030330,O045345,Dec-08,,,,,,,,,,,,,,,,
3Roc,Waterstown,Palmerstown,Parkland,Local,O750035,O010036,Dec-08,,,,,,,,,,,,,,,,
AJAX,Bull Island,"Clontarf, Dublin",Sand dunes,championship,O220354,,,2,,,,,,,,,,,,,,,
AJAX,Carrickshouk,"Laragh, Co. Wicklow",forest,championship,O070030,O101070,2011,5,,,,,,,,,,,,,,,
AJAX,Featherbeds,South Dublin,open mountain,,O130190,,,10,,,,,,,,,,,,,,,
BOC,Ballyduff NS,"Ballyduff, West Waterford",school grounds,school,,,2006,,,,,,,,,,,,,,,,
BOC,Barley Cove,Crookhaven,Sand dunes,"championship, Sprint",V763254,V773260,2014,0.2,,,,,,,,,,,,,,,
BOC,Beaumont GNS,Cork City,school grounds,school,W703696,,2006,,,,,,,,,,,,,,,,
BOC,Buttervent Castle Woods,Buttervent,wood and park,"local, school/campus/park",R542078,R546088,2011,0.5,,,,,,,,,,,,,,,
BOC,Carriagaline Community School,"Carrigaline, Co. Cork",school grounds,grade 3,W730625,W736633,,0.4,,,,,,,,,,,,,,,
BOC,Castleblash Wood,Ballyhooley,mixed forest,Local,W705977,W728986,2007 or 8 ?,2,,,,,,,,,,,,,,,
BOC,Castlelough Wood and Demesne,"Portrow, Lough Derg, Co. Tipperary",forest,championship,R7382,R7584,2006,4,,,,,,,,,,,,,,,
BOC,Clashduv Park,Cork City,parkland,park,,,,,,,,,,,,,,,,,,,
BOC,Coolacullig Coachford Wd,"Coachford, Co. Cork",illegible,Local,W454739,W463752,2008,1,,,,,,,,,,,,,,,
BOC,Coolbeggan,Tallow,mixed forest,grade 2,X0386,X0689,2004,3.5,,,,,,,,,,,,,,,
BOC,Curraghchase,"Kilcornan, Co. Limerick",mixed forest,championship,R3948,R4252,2008,6,,,,,,,,,,,,,,,
BOC,Dromina Wood,"Villerstown, near Lismore",mixed forest,Local,X09535,X120950,2009,3,,,,,,,,,,,,,,,
BOC,Fitzgerald Park,Cork City,parkland,school/campus/park,W657714,W660716,oct 2010,0.1,,,,,,,,,,,,,,,
BOc,Fota Island,Cobh,mixed parkland,School,W780707,W800725,Jun-08,,,,,,,,,,,,,,,,
BOC,Huddersfield Estate,"Crosshaven, Co. Cork",woodland and parkland,local,W770603,W800614,2011,4,,,,,,,,,,,,,,,
BOC,Inchydoney,Clonakilty,Sand dunes,"championship, Sprint",W396381,W412394,2011,0.25,,,,,,,,,,,,,,,
BOC,Kilcalf Mountain,Tallow,working forest,local,W980870,X005900,Apr-10,4,,,,,,,,,,,,,,,
BOC,Kilworth forest,Fermoy,mixed forest,Local,R835040,R870100,2009,11,,,,,,,,,,,,,,,
BOC,Knockanacree,"Cloughjordan, Tipperary",mixed forest,Local,R968892,R978899,2009,1,,,,,,,,,,,,,,,
BOC,Manch,"Ballineen, West Cork",mixed,local and shcool,W291526,W310545,May-10,2,,,,,,,,,,,,,,,
BOC,Marina Park,Cork City,parkland,park,,,2006,,,,,,,,,,,,,,,,
BOC,Mellonny,Cappoquin,farmland,scouts,S085025,S106048,2009,,,,,,,,,,,,,,,,
BOC,Mount Desert Wood,"Lee Road, Cork",steep mixed woodland,local,W628715,W638725,2011,1,,,,,,,,,,,,,,,
BOC,Mount Hillary,,mixed forest,grade 2,W4095,W4497,2004,6,,,,,,,,,,,,,,,
BOC,Murphys Farm,Cork City,parkland,park,W671697,,,,,,,,,,,,,,,,,,
BOC,Scoil Barra NS,"Ballincollig, Cork",school grounds,school,,,2006,,,,,,,,,,,,,,,,
BOC,Scoil Iosagain,"Farrenree, Cork",school grounds,school,,,2006,,,,,,,,,,,,,,,,
BOC,Siens  ???? Wood,Cappoquin,steep valley of Fir trees,school,S116 ??,S127652,2010,,,,,,,,,,,,,,,,
BOC,Sundays Well NS,Cork City,school grounds,school,,,2006,,,,,,,,,,,,,,,,
BOC,Tory Top Park,Togher ?,park and school grounds,grade 3,W667700,W675706,,0.5,,,,,,,,,,,,,,,
BOC,UCC Campus,Cork City,college campus,campus,W660710,W667715,2010,0.25,,,,,,,,,,,,,,,
BOC,UL Campus,"Plassey, Co. Limerick",college campus,campus,R610580,R620590,2009/10,2,,,,,,,,,,,,,,,
CIT,Cork Institute Technology,Bishopstown,parklans and college grounds,grade 3,W626700,W636708,,0.7,,,,,,,,,,,,,,,
CNOC,Emo Court,Portlaoise,forest and parkland,Local,520043,560094,,10,,,,,,,,,,,,,,,
Community Games Orienteers,Claragh Mountain/Mountain Leader,"Kilpadder, North Mallow, Co. Cork",open hillside,championship,W230870,W278900,Aug-02,7.5,,,,,,,,,,,,,,,
CorkO,ballydrehid and Ballydavid,"Caher, Co. Tipperary",forest and rough open,championship,R97 26,S 04 29,Jun-09,16,,,,,,,,,,,,,,,
CorkO,Fota Wildlife Park,Cobh,Parkland,Local,W777707,W795720,May-09,3  to 4 ,,,,,,,,,,,,,,,
CorkO,Seefin,Killavullen,forest with roads & walls,local,"566791,  594683","569019,  597705",april 2010,8,,,,,,,,,,,,,,,
CSOA,Tramore Valley Park,Cork City,park,school/campus/park,W678694,W685699,Nov 2011,0.75,,,,,,,,,,,,,,,
FIN,Annalecka,"Hollywood, Laragh, Co. Wicklow",forest and rough open,championship,O050020,O084045,2008,8,,,,,,,,,,,,,,,
FIN,Balrath Wood,"Kentstown, Navan, Co. Meath",forest,Local,N988641,,summer 2007 ,3,,,,,,,,,,,,,,,
FIN,Cahore south,"Ballycanew, Co. Wexford",Sand dunes,championship,T204429,T222469,2012,2,,,,,,,,,,,,,,,
FIN,Carnawaddy,"Dundalk, Co. Louth",open mountain,championship,J105115,J120150,2004,7,,,,,,,,,,,,,,,
FIN,Castletown,"Celbridge, Co. Kildare",parkland,Local,N975344,,2007,2-3,,,,,,,,,,,,,,,
FIN,Dalgan Park,"Navan, Co. Meath",parkland,Local,N907628,,summer 2007 ,5,,,,,,,,,,,,,,,
FIN,derrycassin,"Granard, Co. Longford",forest,league,N289858,N312870,Aug-10,1~,,,,,,,,,,,,,,,
FIN,Dun a Ri,"Kingscourt, Co. Cavan",Forest Park,C3,N780955,N800985,completed,5,,,,,,,,,,,,,,,
